bias,z,aux,curr,lockin-x,lockin-x2,lockin-y,lockin-y2
1734.12,231.0,0.0,0.38708151538993396,1027.84,107.36,345.501,67.6768
1730.21,231.0,0.0,0.3834499201296998,1013.57,156.157,362.466,38.9354
1726.3,231.0,0.0,0.37895620246525047,983.813,161.571,385.074,20.0885
1722.39,231.0,0.0,0.38007581718045924,977.901,127.678,368.394,-30.0266
1718.48,231.0,0.0,0.3774474882578738,969.277,81.0307,370.79,-20.2115
1714.57,231.0,0.0,0.37677037884748343,966.593,49.2377,360.0,-56.7577
1710.65,231.0,0.0,0.3809970674486804,982.261,66.5888,372.422,25.031
1706.74,231.0,0.0,0.3790077009274492,969.379,-0.824768,352.85,35.0305
1702.83,231.0,0.0,0.37927663734115347,966.092,46.4301,363.939,117.401
1698.92,231.0,0.0,0.37888944519943735,960.512,71.8911,349.704,104.825
1695.01,231.0,0.0,0.37301862050878576,935.834,117.649,365.309,94.1379
1691.1,231.0,0.0,0.3705772119304771,940.842,142.137,378.172,69.2578
1687.19,231.0,0.0,0.36614834418138903,938.326,125.429,382.093,13.7166
1683.28,231.0,0.0,0.3615230193357652,925.139,99.6706,339.225,-59.9326
1679.37,231.0,0.0,0.36103664497055526,892.153,82.0956,326.278,-90.7517
1675.46,231.0,0.0,0.3598826979472141,902.882,-15.3034,358.809,-82.3515
1671.55,231.0,0.0,0.3592837899053477,891.888,-16.8865,353.497,-54.7496
1667.64,231.0,0.0,0.3591693488782395,873.218,-38.1483,345.459,58.7543
1663.73,231.0,0.0,0.3559058722552035,887.904,-22.164,352.727,89.2513
1659.82,231.0,0.0,0.35281405717282976,874.256,53.6347,354.803,124.596
1655.91,231.0,0.0,0.34950861883985407,839.583,102.073,353.429,106.81
1652.0,231.0,0.0,0.34946665712991437,845.147,170.654,350.016,48.6006
1648.09,231.0,0.0,0.34760508308895405,818.464,160.174,332.176,7.67334
1644.18,231.0,0.0,0.3497107979877453,815.596,136.249,346.879,-73.4758
1640.27,231.0,0.0,0.35143313544572397,823.98,43.7769,342.302,-85.5353
1636.36,231.0,0.0,0.34797892377750755,828.871,2.23279,334.407,-76.8146
1632.45,231.0,0.0,0.34878764036907234,816.776,-52.5586,352.756,-5.92445
1628.54,231.0,0.0,0.3504298691080752,835.618,-14.5431,323.899,85.6988
1624.63,231.0,0.0,0.3441527787711895,819.828,24.4886,323.671,109.502
1620.72,231.0,0.0,0.3464702095701309,799.996,146.621,351.647,117.879
1616.81,231.0,0.0,0.34503015997901915,834.931,163.987,351.352,97.2351
